ID	Título	Data	Valor
101	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do almoço em homenagem ao Presidente do Uruguai, Tabaré Vázquez – Palácio Itamaraty, 21 de maio de 2015	21/05/2015	211,03
102	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião do encontro com o Presidente do Uruguai, Tabaré Vázquez – Palácio do Planalto, 21 de maio de 2015	21/05/2015	211,03
103	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do almoço em homenagem ao Primeiro-Ministro da República Popular da China, Li Keqiang e senhora Cheng Hong – Palácio do Planalto, 19 de maio de 2015	20/05/2015	-597,8
104	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião de assinatura de atos entre Brasil e China – Brasília, 19 de maio de 2015	19/05/2015	-705,41
105	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do encerramento do Encontro Empresarial Brasil-China – Palácio Itamaraty, 19 de maio de 2015	19/05/2015	-705,41
106	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da cerimônia de Comemoração dos 70 anos do Dia da Vitória – Palácio do Planalto, 8 de maio de 2015	08/05/2015	227,94
107	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do almoço em homenagem à Presidenta da República da Coreia, Park Geun-hye – Palácio Itamaraty, 24 de abril de 2015	24/04/2015	909,37
108	Declaração à imprensa da presidenta da República, Dilma Rousseff, por ocasião de assinatura de atos entre Brasil e Coreia – Palácio do Planalto, 24 de abril de 2015	24/04/2015	909,37
109	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da VII Cúpula das Américas – Cidade do Panamá, 11 de abril de 2015	11/04/2015	25,66
110	Discurso da Presidenta Dilma Rousseff por ocasião do Foro Empresarial das Américas - Unindo as Américas: Integração Produtiva para o Desenvolvimento Inclusivo – Panamá, 10 de abril de 2015	10/04/2015	411,45
111	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da cerimônia de Lançamento do Pacto Nacional de Enfrentamento às Violações de Direitos Humanos na Internet - #Humaniza Redes – Palácio do Planalto, 7 de abril de 2015	07/04/2015	-8,1
112	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da 2ª Sessão Plenária da III Cúpula da Comunidade de Estados Latino-Americanos e Caribenhos (CELAC) – São José, 28 de janeiro de 2015	29/01/2015	67,7
113	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do Compromisso Constitucional perante o Congresso Nacional – Congresso Nacional, 1º de janeiro de 2015	01/01/2015	-1495,19
114	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da Cerimônia de Abertura da XLVII Cúpula do Mercosul e Estados Associados – Paraná, 17 de dezembro de 2014	17/12/2014	1706,13
115	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da Cúpula Extraordinária da União das Nações Sul-Americanas (Unasul) – Quito, 5 de dezembro de 2014	05/12/2014	566,02
116	Discurso proferido pela Presidenta da República, Dilma Rousseff, por ocasião da abertura do Debate de Alto Nível da 69ª Assembleia Geral das Nações Unidas (ONU) – Nova York, 24 de setembro de 2014	24/09/2014	283,92
117	Discurso proferido pela Presidenta da República, Dilma Rousseff, por ocasião da Cúpula do Clima das Nações Unidas – Nova York, 23 de setembro de 2014	23/09/2014	-277,61
118	Discurso proferido pela Presidenta da República, Dilma Rousseff, por ocasião da Cúpula do Clima das Nações Unidas – Nova York, 23 de setembro de 2014	23/09/2014	-277,61
119	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião da cerimônia de atos com o primeiro-ministro do Japão, Shinzo Abe – Brasília, 1º de agosto de 2014	01/08/2014	73,46
120	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do almoço em homenagem ao Primeiro-Ministro do Japão, Shinzo Abe – Brasília, 1º de agosto de 2014	01/08/2014	73,46
121	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da Sessão Plenária da 46ª Cúpula do Mercosul – Caracas, 29 de julho de 2014	29/07/2014	-576,91
122	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião do encontro com o Presidente da República Popular da China, Xi Jinping – Brasília, 17 de julho de 2014	17/07/2014	-79,85
123	Discurso proferido pela Presidenta da República, Dilma Rousseff, por ocasião do almoço em homenagem ao Presidente da República Popular da China, Xi Jinping – Brasília, 17 de julho de 2014	17/07/2014	-79,85
124	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião do encontro bilateral com o Presidente da República de Angola, José Eduardo dos Santos - Brasília, 16 de junho de 2014	16/07/2014	-256,25
125	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da Segunda Sessão de Trabalho da Cúpula do Brics e de países da América do Sul - Brasília, 16 de julho de 2014	16/07/2014	-256,25
126	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da abertura da Sessão Plenária da VI Cúpula do Brics - Fortaleza, 15 de julho de 2014	15/07/2014	229,63
127	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião da reunião bilateral com o presidente da Rússia, Vladimir Putin - Brasília, 14 de julho de 2014	14/07/2014	958,05
128	Discurso da Presidenta da República, Dilma Rousseff, por ocasião do almoço em homenagem ao Presidente da Rússia, Vladimir Putin - Brasília, 14 de julho de 2014	14/07/2014	958,05
129	Declaração à imprensa da Presidenta da República, Dilma Rousseff, por ocasião da reunião de trabalho com a Chanceler da Alemanha, Angela Merkel – Brasília, 15 de junho de 2014	15/06/2014	-177,09
130	Discurso da Presidenta da República, Dilma Rousseff, por ocasião da cerimônia de formatura da turma 2012-2014 do Instituto Rio Branco e de imposição de insígnias da Ordem de Rio Branco – Brasília, 30 de abril de 2014	30/04/2014	-211,92
131	Discurso proferido pela Presidenta da República, Dilma Rousseff, durante Sessão Plenária do Fórum Econômico Mundial 2014 - Davos, Suíça, 24 de janeiro de 2014	20/04/2014	-134,99
